"names","sample","condition","cellline","mutation","mut.subtype","PDL1.group","batch"
"JRpre","CM138.control","control","CM138","BRAF(V600E)","BRAF","inducible","batch1"
"JRpre_DAC","CM138.DAC","DAC","CM138","BRAF(V600E)","BRAF","inducible","batch2"
"JLpre","CM150.post.control","control","CM150.post","BRAF(V600E)","BRAF","inducible","batch1"
"JLpre_DAC","CM150.post.DAC","DAC","CM150.post","BRAF(V600E)","BRAF","inducible","batch2"
"EHpre","CM145.pre.control","control","CM145.pre","BRAF(V600E)","BRAF","inducible","batch1"
"EHpre_DAC","CM145.pre.DAC","DAC","CM145.pre","BRAF(V600E)","BRAF","inducible","batch2"
"EHpre_VitC","CM145.pre.VitC","VitC","CM145.pre","BRAF(V600E)","BRAF","inducible","batch2"
"EHpre_DAC_VitC","CM145.pre.DAC.VitC","DAC.VitC","CM145.pre","BRAF(V600E)","BRAF","inducible","batch2"
"EHpost","CM145.post.control","control","CM145.post","BRAF(V600E)","BRAF","inducible","batch1"
"EHpost_DAC","CM145.post.DAC","DAC","CM145.post","BRAF(V600E)","BRAF","inducible","batch2"
"EHpost_VitC","CM145.post.VitC","VitC","CM145.post","BRAF(V600E)","BRAF","inducible","batch2"
"EHpost_DAC_VitC","CM145.post.DAC.VitC","DAC.VitC","CM145.post","BRAF(V600E)","BRAF","inducible","batch2"
"NZM22","NZM22.control","control","NZM22","WT","WT","inducible","batch1"
"NZM22_DAC","NZM22.DAC","DAC","NZM22","WT","WT","inducible","batch2"
"NZM42","NZM42.control","control","NZM42","NRAS(Q61K)","NRAS","inducible","batch1"
"NZM42_DAC","NZM42.DAC","DAC","NZM42","NRAS(Q61K)","NRAS","inducible","batch2"
"NZM42_VitC","NZM42.VitC","VitC","NZM42","NRAS(Q61K)","NRAS","inducible","batch2"
"NZM42_DAC_VitC","NZM42.DAC.VitC","DAC.VitC","NZM42","NRAS(Q61K)","NRAS","inducible","batch2"
"JRpost","CM142.post.control","control","CM142.post","BRAF(V600E)","BRAF","intermediate","batch1"
"JRpost_DAC","CM142.post.DAC","DAC","CM142.post","BRAF(V600E)","BRAF","intermediate","batch2"
"MelRMu","MelRMu.control","control","MelRMu","BRAF(V600E)","BRAF","intermediate","batch1"
"MelRMu_DAC","MelRMu.DAC","DAC","MelRMu","BRAF(V600E)","BRAF","intermediate","batch2"
"MelRMu_VitC","MelRMu.VitC","VitC","MelRMu","BRAF(V600E)","BRAF","intermediate","batch2"
"MelRMu_DAC_VitC","MelRMu.DAC.VitC","DAC.VitC","MelRMu","BRAF(V600E)","BRAF","intermediate","batch2"
"KDpre","CM143.pre.control","control","CM143.pre","BRAF(V600E)","BRAF","constitutive","batch1"
"KDpre_DAC","CM143.pre.DAC","DAC","CM143.pre","BRAF(V600E)","BRAF","constitutive","batch2"
"KDpost","CM143.post.control","control","CM143.post","BRAF(V600E)","BRAF","constitutive","batch1"
"KDpost_DAC","CM143.post.DAC","DAC","CM143.post","BRAF(V600E)","BRAF","constitutive","batch2"
"NZM9","NZM9.control","control","NZM9","WT","WT","constitutive","batch1"
"NZM9_DAC","NZM9.DAC","DAC","NZM9","WT","WT","constitutive","batch2"
"NZM40","NZM40.control","control","NZM40","NRAS(Q61H)","NRAS","constitutive","batch1"
"NZM40_DAC","NZM40.DAC","DAC","NZM40","NRAS(Q61H)","NRAS","constitutive","batch2"
